categoria,pregunta,respuesta
bienvenida,Hola,"Hola, soy ohmIA. Puedo ayudarte con ley de Ohm, LCK, LKV, resistencias y potencia electrica."
ohm,Que es la ley de Ohm,"La ley de Ohm relaciona voltaje, corriente y resistencia: V = I * R."
ohm,Como calculo corriente,"Usa I = V / R. Necesitas conocer el voltaje y la resistencia."
ohm,Como calculo voltaje,"Usa V = I * R. Necesitas conocer la corriente y la resistencia."
ohm,Como calculo resistencia,"Usa R = V / I. Necesitas conocer el voltaje y la corriente."
lck,Que es LCK,"La ley de corrientes de Kirchhoff dice que en un nodo las corrientes que entran son iguales a las corrientes que salen."
lck,Como aplico la ley de nodos,"Identifica el nodo, separa corrientes que entran y salen, escribe entradas = salidas y despeja."
lkv,Que es LKV,"La ley de voltajes de Kirchhoff dice que la suma algebraica de voltajes en un lazo cerrado es cero."
lkv,Como aplico la ley de mallas,"Elige una malla, define sentido de recorrido, asigna signos, suma voltajes y despeja."
serie,Resistencias en serie,"En serie circula la misma corriente y la resistencia equivalente es la suma de todas."
paralelo,Resistencias en paralelo,"En paralelo todas las ramas tienen el mismo voltaje y se suman los inversos de las resistencias."
potencia,Como calculo potencia,"Puedes usar P = V * I, P = I^2 * R o P = V^2 / R, segun los datos disponibles."
recursos,Que material puedo revisar,"Puedes revisar las presentaciones de circuitos resistivos y aplicaciones de Kirchhoff, ademas de los PDFs de formulas y resumenes."
